"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,1,10000,500,16,0,1920x1200.png, 1.334937 s
seam-carving-omp-opt,1,10000,500,16,0,1024x768.png, 0.815675 s
seam-carving-omp-opt,1,10000,500,16,0,3840x2160.png, 4.904187 s
seam-carving-omp-opt,1,10000,500,16,0,test.png, 0.638925 s
seam-carving-omp-opt,1,10000,700,16,0,valve.png, 0.308653 s
seam-carving-omp-opt,1,10000,700,16,0,720x480.png, 0.374548 s
seam-carving-omp-opt,1,10000,700,16,0,7680x4320.png, 16.850869 s
seam-carving-omp-opt,1,10000,700,16,0,1920x1200.png, 1.493424 s
seam-carving-omp-opt,1,10000,700,16,0,1024x768.png, 0.804368 s
seam-carving-omp-opt,1,10000,700,16,0,3840x2160.png, 5.396186 s
seam-carving-omp-opt,1,10000,700,16,0,test.png, 0.655266 s
seam-carving-omp-opt,1,10000,1000,16,0,valve.png, 0.307748 s
seam-carving-omp-opt,1,10000,1000,16,0,720x480.png, 0.375517 s
seam-carving-omp-opt,1,10000,1000,16,0,7680x4320.png, 17.996750 s
seam-carving-omp-opt,1,10000,1000,16,0,1920x1200.png, 1.498396 s
seam-carving-omp-opt,1,10000,1000,16,0,1024x768.png, 0.795914 s
seam-carving-omp-opt,1,10000,1000,16,0,3840x2160.png, 6.537443 s
seam-carving-omp-opt,1,10000,1000,16,0,test.png, 0.650731 s
seam-carving-omp-opt,1,10000,5000,16,0,valve.png, 0.307913 s
seam-carving-omp-opt,1,10000,5000,16,0,720x480.png, 0.381957 s
seam-carving-omp-opt,1,10000,5000,16,0,7680x4320.png, 28.980035 s
seam-carving-omp-opt,1,10000,5000,16,0,1920x1200.png, 1.479145 s
seam-carving-omp-opt,1,10000,5000,16,0,1024x768.png, 0.800417 s
seam-carving-omp-opt,1,10000,5000,16,0,3840x2160.png, 9.294216 s
seam-carving-omp-opt,1,10000,5000,16,0,test.png, 0.636286 s
seam-carving-omp-opt,1,10000,10000,16,0,valve.png, 0.306017 s
seam-carving-omp-opt,1,10000,10000,16,0,720x480.png, 0.371106 s
seam-carving-omp-opt,1,10000,10000,16,0,7680x4320.png, 28.483634 s
seam-carving-omp-opt,1,10000,10000,16,0,1920x1200.png, 1.410722 s
seam-carving-omp-opt,1,10000,10000,16,0,1024x768.png, 0.766390 s
seam-carving-omp-opt,1,10000,10000,16,0,3840x2160.png, 9.176909 s
seam-carving-omp-opt,1,10000,10000,16,0,test.png, 0.622313 s
seam-carving-omp-opt,10000000,1,1,16,0,valve.png, 1.108066 s
seam-carving-omp-opt,10000000,1,1,16,0,720x480.png, 1.381300 s
seam-carving-omp-opt,10000000,1,1,16,0,7680x4320.png, 54.884044 s
seam-carving-omp-opt,10000000,1,1,16,0,1920x1200.png, 8.658527 s
seam-carving-omp-opt,10000000,1,1,16,0,1024x768.png, 3.046964 s
seam-carving-omp-opt,10000000,1,1,16,0,3840x2160.png, 35.267677 s
seam-carving-omp-opt,10000000,1,1,16,0,test.png, 2.691726 s
seam-carving-omp-opt,10000000,1,100,16,0,valve.png, 1.099366 s
seam-carving-omp-opt,10000000,1,100,16,0,720x480.png, 1.390078 s
seam-carving-omp-opt,10000000,1,100,16,0,7680x4320.png, 55.216390 s
seam-carving-omp-opt,10000000,1,100,16,0,1920x1200.png, 8.704514 s
seam-carving-omp-opt,10000000,1,100,16,0,1024x768.png, 3.049030 s
seam-carving-omp-opt,10000000,1,100,16,0,3840x2160.png, 34.973846 s
seam-carving-omp-opt,10000000,1,100,16,0,test.png, 2.692109 s
seam-carving-omp-opt,10000000,1,500,16,0,valve.png, 1.104178 s
seam-carving-omp-opt,10000000,1,500,16,0,720x480.png, 1.385198 s
seam-carving-omp-opt,10000000,1,500,16,0,7680x4320.png, 55.747598 s
seam-carving-omp-opt,10000000,1,500,16,0,1920x1200.png, 8.716376 s
seam-carving-omp-opt,10000000,1,500,16,0,1024x768.png, 3.133742 s
seam-carving-omp-opt,10000000,1,500,16,0,3840x2160.png, 34.240323 s
seam-carving-omp-opt,10000000,1,500,16,0,test.png, 2.749355 s
seam-carving-omp-opt,10000000,1,700,16,0,valve.png, 1.121486 s
seam-carving-omp-opt,10000000,1,700,16,0,720x480.png, 1.383792 s
seam-carving-omp-opt,10000000,1,700,16,0,7680x4320.png, 55.230851 s
